标题,引言,作者,出版书,日期,文章属性,关键词,下载数量,引用数量
可解释机器学习在油气领域人工智能中的研究进展与应用展望  CNKI文献,0 引言 当前我国油气对外依存度较高，为保障国家能源安全，从战略层面上需要加强油气资源的勘探开发。但是，随着常规油气的日益枯竭，剩余的可采油气资源大部分属于较难开采的非常规油气[1-2]。在这一背景下，人工智能与油气工业的深度融合，已成为推动油田企业实现规模增产的重要手段[3]。与数值模拟和实验研究等方法相比，通过拟合无法使用机理模型描述的油气田开发数据方式，基于机器学习（Machi...,闵超 文国权 李小刚 赵大志 李昆成,《天然气工业》,2024年09期,期刊,关键词：油气田勘探开发 / 人工智能 / 机器学习 / 可解释机器学习,下载（357）,被引（0）
基于机器学习技术的汉字字体设计方法综述研究  CNKI文献,字体是指字符呈现的视觉特征，是字符结构和笔画在样式风格上的视觉效果。不同视觉效果的字体需要通过字体的设计工作来完成，然而，由于汉字字符的结构与笔画复杂、字符的数量庞大以及繁琐的设计方法导致传统的汉字字体设计成为一项艰巨的工作。随着数智时代的不断发展，人工智能在艺术创意领域展现出巨大的创作潜力，探索机器学习技术在汉字字体设计方面的应用，以期达到替代传统工作的目的，已成为目前设计学科与计算...,周雅琴 武志鹏,《艺术与设计(理论)》,2024年09期,期刊,关键词：字体设计 / 人工智能 / 机器学习 / 字体生成,下载（18）,被引（0）
人工智能背景下机器学习课程教学改革路径探索  CNKI文献,开放科学（资源服务）标识码(OSID) 0 引言 为了推动人工智能行业的进步，党的二十大报告明确指出，把人工智能作为推进战略性新兴产业融合集群发展的驱动力，促进智能技术的创新，并且积极推动区域经济社会数字化、智能化的转型刻不容缓。可以看出，国家层面一直在关心人工智能领域的发展，并且出台了相应政策来推动其进步，期望人工智能为各行各业乃至各个领域的发展提供助力[1]。机器学习课程作为人...,陈蕾 张礼,《电脑知识与技术》,2024年26期,期刊,关键词：人工智能 / 机器学习 / 教学改革 / 教学实践,下载（0）,被引（0）
公共管理研究中的机器学习方法——原理、应用及挑战  CNKI文献,一、引言 当下的社会正处于一个数字爆炸、信息爆炸的时代，党的二十大报告更是提出了加快建设“网络中国、数字中国”的迫切要求。在第四次科技革命中，芯片产业的迅速发展与互联网技术对人们日常生活的渗透使得机器学习蓬勃生长：一方面，高算力低成本的GPU(图形处理器)使人工智能的生产与应用脱离企业，走向民间，机器学习不再是一种高门槛的技术；另一方面，数字经济发展孕育的海量数据也为~#...,刘闻博 王丛虎,《公共管理与政策评论》,2024年05期,期刊,关键词：公共管理研究 / 研究方法 / 机器学习 / 公共价值,下载（1011）,被引（0）
新质生产力时代要求背景下的大学机器学习课程探索与研究  CNKI文献,当今社会正处于技术驱动的快速发展时期，人工智能和机器学习等前沿技术成为推动社会进步和经济增长的关键驱动力[1-2]，培养具备机器学习知识和技能的大学生，成了社会进步和产业发展的共同需求[3-5]。与此同时，习近平总书记提出了发展新质生产力的时代要求，大力发展新质生产力是我国在新发展阶段构筑国家竞争新优势的战略选择[6-7]，这对当代大学生提出了更高的要求。因此，如何培养大学...,焦文华 李丽娟 张印强 梅雪 王莉 刘芃,《创新创业理论研究与实践》,2024年17期,期刊,关键词：新质生产力 / 创新人才 / 产教融合 / 机器学习,下载（20）,被引（0）
机器学习强化的电化学阻抗谱技术及其在锂离子电池研究中的应用  CNKI文献,"锂离子电池因其高能量密度和长循环寿命，在全球能源结构转型和现代储能技术应用中扮演了核心角色。随着电气化的不断发展，动力电池和储能电池的需求激增[1],2022年电动车销量超过1000万辆，电动汽车销量持续增长，到2024年可能达到约1700万辆，占全球销量汽车的五分之一以上[2]。在实际使用过程中人们不仅对锂离子电池的性能提出更高要求，更对电池使用的安全性和可靠性形成广泛关注[3-4]。在可靠性研...",何智峰 陶远哲 胡泳钢 王其聪 杨勇,《储能科学与技术》,2024年09期,期刊,关键词：锂离子电池 / 电化学阻抗谱 / 机器学习 / 寿命预测,下载（416）,被引（0）
基于机器学习的时空出行选择行为研究综述与展望  CNKI文献,时空出行选择行为模型是交通需求分析与预测的基石，为交通系统政策制定、运营管理和系统优化提供了可靠的决策支撑。20世纪60年代，McFadden[1]将可操作性极强的Logit模型和个人随机效用理论结合，时空出行选择行为的建模方法得到迅速发展。20世纪70年代，经典离散选择模型在旧金山湾沿岸高速铁道需求预测中的成功应用，使得非集计分析模型和方法在快速城市化进程中大显身手[2]。在随后的几十年中，学者...,王江波 连芝锐 冯涛 唐立 刘锴,《地理科学进展》,2024年08期,期刊,关键词：时空出行选择行为 / 非集计模型 / 机器学习 / 可解释性,下载（452）,被引（0）
机器学习在无线电领域的典型应用与挑战  CNKI文献,1机器学习 机器学习是一种通过数据训练模型，并通过模型进行预测和决策的技术，主要包括数据采集、数据探索和预处理、模型的建立和训练、模型评估与优化四个基本步骤。按照不同的分类方法，机器学习算法有多种分类结果，深度学习是机器学习算法中通过使用多层神经网络，处理大量复杂的、非结构化数据的新领域，在某些任务上的表现超越了传统的机器学习@#...,黎璐玫 王心尘 王晓冬,《中国无线电》,2024年08期,期刊,关键词：机器学习 / 无线电 / 应用 / 挑战,下载（25）,被引（0）
量子机器学习算法研究概述  CNKI文献,0 引言 随着信息技术的飞速发展和大数据的涌现，传统计算机对数据的处理能力已经达到瓶颈。然而，机器学习作为一门交叉学科，已经对众多领域产生了深远的影响。机器学习算法核心旨在提取有价值的数据训练生成模型，利用模型对数据进行预测与分析，并不断优化、提升模型的性能。同时，第二次量子科技革命催生出量子计算等新兴技术，其中量子计算因具有独特的性质（量子叠加性和并行性），能够实现对数...,侯敏,《通讯世界》,2024年08期,期刊,关键词：机器学习 / 量子机器学习 / 量子计算 / 人工智能,下载（204）,被引（0）
遥感卫星任务智能决策的机器学习方法研究  CNKI文献,遥感卫星任务智能是智能对地观测卫星系统(IEOS)的关键技术之一[1-3]。遥感卫星的任务决策通常采用地面或星上任务规划实现[4]。任务规划软件制定任务的决策策略，包括用户任务需求、卫星基本配置参数、地面系统可用资源、分系统约束条件、分系统间时序匹配、决策优化调度算法、最终指令生成等[5]。任务决策过程可以描述为任务规划软件根据用户需求和可用资源在满足当前卫星各分系统(如姿态控制、载荷、数传)匹配...,杨芳 景丽萍 黄敏 陈雄姿 田帅虎 王抒雁 张宝昕,《航天器工程》,2024年04期,期刊,关键词：遥感卫星 / 任务智能决策 / 机器学习 / 样本模型,下载（128）,被引（0）
